date,layoff_rate_jolts,quit_rate_jolts,vacancy_rate_jolts,P,P_12m_change
2023-01-01,1.2,2.5,6.3,300.356,6.362123304649603
2023-02-01,1.0,2.6,6.0,301.509,5.965522694923298
2023-03-01,1.2,2.5,5.8,301.744,4.935090226845151
2023-04-01,1.1,2.3,6.0,303.032,4.941059134795189
2023-05-01,1.0,2.6,5.6,303.365,4.120689595996696
2023-06-01,1.0,2.4,5.5,304.003,3.053261739142221
2023-07-01,1.1,2.3,5.3,304.628,3.271780511700917
2023-08-01,1.1,2.3,5.6,306.187,3.718721312697104
2023-09-01,1.0,2.3,5.6,307.288,3.6940551594278226
2023-10-01,1.1,2.3,5.2,307.531,3.2457874929078256
2023-11-01,1.0,2.2,5.4,308.024,3.1394819319064515
2023-12-01,1.0,2.2,5.3,308.742,3.3231597124613543
2024-01-01,1.0,2.2,5.3,309.685,3.1059809026621865
2024-02-01,1.1,2.2,5.3,311.054,3.1657429794798686
2024-03-01,1.0,2.2,5.0,312.23,3.475131237075124
2024-04-01,1.0,2.2,4.8,313.207,3.3577311967053047
2024-05-01,1.1,2.1,4.9,313.225,3.2502101428971697
2024-06-01,1.0,2.0,4.8,313.049,2.975628529981611
2024-07-01,1.1,2.0,4.6,313.534,2.923565791719729
2024-08-01,1.0,2.0,4.7,314.121,2.5912269299480206
2024-09-01,1.1,1.9,4.4,314.686,2.4075134727031156
2024-10-01,1.1,2.1,4.7,315.454,2.5763256387161038
2024-11-01,1.1,2.0,4.9,316.441,2.732579279536651
2024-12-01,1.1,2.0,4.5,317.685,2.8965932720523835
